timestamp,open,low,high,close,volume,Code
2020-02-19,1505,1505,1550,1530,70151200,PGAS
2020-02-20,1530,1520,1580,1555,99359700,PGAS
2020-02-21,1545,1520,1555,1525,56583600,PGAS
2020-02-24,1500,1480,1510,1480,51143600,PGAS
2020-02-25,1450,1450,1520,1500,54574200,PGAS
2020-02-26,1480,1480,1515,1495,42886300,PGAS
2020-02-27,1485,1385,1500,1385,80697700,PGAS
2020-02-28,1340,1255,1340,1280,151189200,PGAS
2020-03-02,1290,1270,1350,1290,88138900,PGAS
2020-03-03,1310,1310,1350,1345,90612800,PGAS
2020-03-04,1330,1320,1435,1425,88812700,PGAS
2020-03-05,1450,1400,1465,1425,64954800,PGAS
2020-03-06,1385,1340,1395,1345,56318300,PGAS
2020-03-09,1275,1165,1280,1170,87316700,PGAS
2020-03-10,1170,1170,1240,1205,84443700,PGAS
2020-03-11,1205,1120,1210,1125,77772500,PGAS
2020-03-12,1070,1000,1070,1005,78399800,PGAS
2020-03-13,960,935,1040,980,114304900,PGAS
2020-03-16,940,915,940,915,50015600,PGAS
2020-03-17,860,855,870,855,78689700,PGAS
2020-03-18,855,800,860,800,74146200,PGAS
2020-03-19,745,745,750,745,10353900,PGAS
2020-03-20,695,695,740,695,230646600,PGAS
2020-03-23,695,650,695,650,13816900,PGAS
2020-03-24,610,605,680,605,200609000,PGAS
2020-03-25,610,605,680,605,0,PGAS
2020-03-26,615,615,705,680,284924500,PGAS
2020-03-27,700,700,835,760,316415300,PGAS
2020-03-30,745,710,745,730,86472900,PGAS
2020-03-31,750,745,790,775,129356000,PGAS
2020-04-01,765,735,815,735,148067300,PGAS
2020-04-02,730,710,800,800,176088600,PGAS
2020-04-03,810,795,840,800,199167500,PGAS
2020-04-06,820,815,895,895,297293100,PGAS
2020-04-07,925,875,950,915,307009600,PGAS
2020-04-08,900,855,915,855,125212700,PGAS
2020-04-09,850,820,880,835,172427700,PGAS
2020-04-10,850,820,880,835,0,PGAS
2020-04-13,800,800,860,830,92693600,PGAS
2020-04-14,850,835,900,900,219176300,PGAS
2020-04-15,910,840,920,840,285125800,PGAS
2020-04-16,830,800,840,805,143174400,PGAS
2020-04-17,825,820,845,835,126383900,PGAS
2020-04-20,830,800,845,805,114845000,PGAS
2020-04-21,800,760,800,765,99714000,PGAS
2020-04-22,755,730,775,765,136720300,PGAS
2020-04-23,775,760,800,770,121051000,PGAS
2020-04-24,785,760,800,770,142957600,PGAS
2020-04-27,775,760,790,785,50742100,PGAS
2020-04-28,775,770,790,780,42480100,PGAS
2020-04-29,790,780,795,790,39795500,PGAS
2020-04-30,800,800,855,855,180202200,PGAS
2020-05-01,800,800,855,855,0,PGAS
2020-05-04,850,810,850,820,116776300,PGAS
2020-05-05,825,805,835,815,121349800,PGAS
2020-05-06,815,805,835,815,178524800,PGAS
2020-05-07,815,805,835,815,0,PGAS
2020-05-08,830,815,865,860,318826400,PGAS
2020-05-11,870,870,905,895,332702600,PGAS
2020-05-12,895,850,900,855,148852200,PGAS
2020-05-13,820,815,870,855,127208100,PGAS
2020-05-14,840,805,855,810,145351000,PGAS
2020-05-15,820,780,830,790,142061100,PGAS
2020-05-18,810,800,840,835,97806100,PGAS
2020-05-19,850,835,860,840,117706600,PGAS
2020-05-20,840,820,850,830,86715700,PGAS
2020-05-21,840,820,850,830,0,PGAS
2020-05-22,840,820,850,830,0,PGAS
2020-05-25,840,820,850,830,0,PGAS
2020-05-26,850,840,890,890,198105500,PGAS
2020-05-27,900,870,910,885,223054200,PGAS
2020-05-28,890,870,905,885,207684500,PGAS
2020-05-29,855,835,860,860,266711300,PGAS
2020-06-01,855,835,860,860,0,PGAS
2020-06-02,860,860,925,885,244429200,PGAS
2020-06-03,900,895,980,970,544273300,PGAS
2020-06-04,980,950,1030,955,418446600,PGAS
2020-06-05,965,945,1030,1030,341658900,PGAS
2020-06-08,1070,1050,1135,1110,393276900,PGAS
2020-06-09,1150,1090,1160,1095,276527100,PGAS
2020-06-10,1095,1020,1110,1040,272865000,PGAS
2020-06-11,1030,1000,1070,1030,206158300,PGAS
2020-06-12,1015,960,1060,1045,249131400,PGAS
2020-06-15,1045,995,1060,995,197702600,PGAS
2020-06-16,1020,1020,1125,1120,393632700,PGAS
2020-06-17,1125,1095,1155,1125,234780900,PGAS
2020-06-18,1115,1090,1135,1110,138139000,PGAS
2020-06-19,1105,1080,1125,1080,130995700,PGAS
2020-06-22,1085,1055,1090,1060,78736100,PGAS
2020-06-23,1045,1040,1100,1095,108966000,PGAS
2020-06-24,1100,1090,1170,1130,293977300,PGAS
2020-06-25,1100,1085,1130,1090,168840200,PGAS
2020-06-26,1105,1100,1160,1135,283310800,PGAS
2020-06-29,1125,1115,1160,1150,201770400,PGAS
2020-06-30,1175,1135,1185,1135,280957000,PGAS
2020-07-01,1135,1110,1150,1135,113680900,PGAS
2020-07-02,1145,1120,1150,1125,149236800,PGAS
2020-07-03,1130,1110,1140,1110,90082800,PGAS
2020-07-06,1125,1115,1135,1135,72598300,PGAS
2020-07-07,1140,1130,1155,1140,141417300,PGAS
2020-07-08,1150,1140,1180,1170,213135400,PGAS
2020-07-09,1185,1155,1190,1160,143608200,PGAS
2020-07-10,1160,1130,1165,1135,80850900,PGAS
2020-07-13,1140,1140,1165,1160,49146600,PGAS
2020-07-14,1160,1145,1185,1165,104248000,PGAS
2020-07-15,1180,1150,1190,1155,97700600,PGAS
2020-07-16,1160,1150,1170,1160,65006200,PGAS
2020-07-17,1155,1145,1170,1160,50234900,PGAS
2020-07-20,1160,1135,1165,1140,54876400,PGAS
2020-07-21,1145,1145,1170,1155,74949000,PGAS
2020-07-22,1165,1160,1230,1220,414497900,PGAS
2020-07-23,1235,1225,1270,1245,187897700,PGAS
2020-07-24,1250,1210,1260,1220,110530200,PGAS
2020-07-27,1210,1210,1250,1230,67576100,PGAS
2020-07-28,1235,1210,1245,1220,56839200,PGAS
2020-07-29,1220,1205,1250,1230,100171500,PGAS
2020-07-30,1250,1230,1280,1265,221126300,PGAS
2020-07-31,1250,1230,1280,1265,0,PGAS
2020-08-03,1265,1180,1280,1200,192588400,PGAS
2020-08-04,1190,1190,1230,1205,105825800,PGAS
2020-08-05,1205,1200,1235,1235,83862900,PGAS
2020-08-06,1240,1235,1260,1235,70343000,PGAS
2020-08-07,1255,1200,1255,1210,95092900,PGAS
2020-08-10,1210,1205,1225,1210,53606800,PGAS
2020-08-11,1210,1205,1230,1210,84151400,PGAS
2020-08-12,1210,1200,1235,1220,124317100,PGAS
2020-08-13,1230,1220,1245,1235,79605200,PGAS
2020-08-14,1230,1225,1250,1230,51790400,PGAS
2020-08-17,1230,1225,1250,1230,0,PGAS
2020-08-18,1240,1230,1265,1245,99427300,PGAS
2020-08-19,1250,1245,1305,1305,206134500,PGAS
2020-08-20,1250,1245,1305,1305,0,PGAS
2020-08-21,1250,1245,1305,1305,0,PGAS
2020-08-24,1305,1300,1335,1315,176421200,PGAS
2020-08-25,1320,1310,1350,1340,113468200,PGAS
2020-08-26,1340,1310,1350,1315,112043900,PGAS
2020-08-27,1315,1305,1330,1315,61154600,PGAS
2020-08-28,1315,1315,1340,1325,92556200,PGAS
2020-08-31,1325,1255,1340,1255,161283800,PGAS
2020-09-01,1265,1250,1290,1285,77012000,PGAS
2020-09-02,1300,1280,1330,1330,97364900,PGAS
2020-09-03,1335,1295,1340,1310,74372700,PGAS
2020-09-04,1285,1265,1295,1290,84262600,PGAS
2020-09-07,1270,1220,1275,1230,151337100,PGAS
2020-09-08,1230,1175,1240,1180,203897100,PGAS
2020-09-09,1170,1110,1170,1120,208807700,PGAS
2020-09-10,1070,1045,1080,1045,123770900,PGAS
2020-09-11,1000,995,1120,1105,230431200,PGAS
2020-09-14,1120,1110,1150,1145,107686800,PGAS
2020-09-15,1145,1100,1155,1105,131174000,PGAS
2020-09-16,1105,1080,1120,1085,54767300,PGAS
2020-09-17,1080,1035,1100,1050,97076400,PGAS
2020-09-18,1040,1040,1080,1040,112762700,PGAS
2020-09-21,1040,1000,1060,1010,79674500,PGAS
2020-09-22,990,980,1040,1020,116836300,PGAS
2020-09-23,1030,980,1045,1005,133463700,PGAS
2020-09-24,985,955,1000,960,133949100,PGAS
2020-09-25,965,960,1000,995,138126700,PGAS
2020-09-28,1005,965,1015,970,98508400,PGAS
2020-09-29,975,950,990,955,96786900,PGAS
2020-09-30,950,905,960,925,139729500,PGAS
2020-10-01,935,925,965,955,135636100,PGAS
2020-10-02,955,900,955,920,202315100,PGAS
2020-10-05,930,920,940,930,73231200,PGAS
2020-10-06,940,940,985,970,188135700,PGAS
2020-10-07,960,955,975,975,111553200,PGAS
2020-10-08,985,975,1005,980,213952200,PGAS
2020-10-09,980,970,985,980,60133400,PGAS
2020-10-12,995,985,1005,1000,153562000,PGAS
2020-10-13,1005,990,1050,1035,208008500,PGAS
2020-10-14,1035,1030,1080,1065,186576800,PGAS
2020-10-15,1065,1030,1090,1035,159965400,PGAS
2020-10-16,1040,1020,1050,1030,86552600,PGAS
2020-10-19,1040,1035,1065,1065,96583500,PGAS
2020-10-20,1065,1045,1080,1045,123254200,PGAS
2020-10-21,1055,1050,1070,1060,76196800,PGAS
2020-10-22,1055,1040,1090,1060,201741400,PGAS
2020-10-23,1070,1055,1075,1065,64536300,PGAS
2020-10-26,1065,1065,1105,1105,187108900,PGAS
2020-10-27,1105,1075,1115,1075,158392800,PGAS
2020-10-28,1105,1075,1115,1075,0,PGAS
2020-10-29,1105,1075,1115,1075,0,PGAS
2020-10-30,1105,1075,1115,1075,0,PGAS
2020-11-02,1050,1045,1070,1060,94255000,PGAS
2020-11-03,1075,1060,1085,1075,80932200,PGAS
2020-11-04,1085,1050,1090,1050,71755300,PGAS
2020-11-05,1065,1065,1085,1080,62948400,PGAS
2020-11-06,1090,1070,1110,1100,124221100,PGAS
2020-11-09,1115,1100,1125,1125,128688800,PGAS
2020-11-10,1160,1140,1190,1175,239757500,PGAS
2020-11-11,1180,1170,1230,1205,217771400,PGAS
2020-11-12,1205,1165,1210,1175,117718300,PGAS
2020-11-13,1165,1160,1185,1180,73550300,PGAS
2020-11-16,1190,1190,1220,1215,117888500,PGAS
2020-11-17,1235,1225,1285,1270,273905900,PGAS
2020-11-18,1280,1275,1370,1365,478470000,PGAS
2020-11-19,1365,1335,1385,1355,197300700,PGAS
2020-11-20,1355,1330,1410,1405,329589900,PGAS
2020-11-23,1415,1410,1445,1425,144114800,PGAS
2020-11-24,1450,1425,1455,1440,121087300,PGAS
2020-11-25,1460,1390,1475,1415,194352500,PGAS
2020-11-26,1415,1405,1430,1430,50964700,PGAS
2020-11-27,1435,1420,1500,1490,220098800,PGAS
2020-11-30,1490,1390,1490,1390,405827600,PGAS
2020-12-01,1390,1335,1435,1390,357636100,PGAS
2020-12-02,1410,1390,1445,1440,244197000,PGAS
2020-12-03,1460,1450,1485,1455,210592200,PGAS
2020-12-04,1460,1430,1465,1450,104147200,PGAS
2020-12-07,1475,1455,1480,1465,116680400,PGAS
2020-12-08,1490,1470,1710,1690,825987000,PGAS
2020-12-09,1490,1470,1710,1690,0,PGAS
2020-12-10,1730,1630,1735,1670,407318000,PGAS
2020-12-11,1700,1640,1715,1655,203256500,PGAS
2020-12-14,1670,1650,1730,1715,297419500,PGAS
2020-12-15,1725,1695,1835,1790,461332500,PGAS
2020-12-16,1800,1795,1885,1810,452252500,PGAS
2020-12-17,1825,1765,1840,1790,207152200,PGAS
2020-12-18,1790,1755,1825,1790,165406100,PGAS
2020-12-21,1800,1790,1895,1795,387447200,PGAS
